name,library_type,address,homepage_url,lat,lng
대조꿈나무어린이도서관,작은도서관,서울특별시 은평구 연서로20길 24-6 (대조동),,37.61382359,126.9207184
대주작은도서관,작은도서관,경기도 광주시 마루들길 276,http://lib.gjcity.go.kr,37.37569702,127.261891
대주파크빌 작은도서관,작은도서관,광주광역시 서구 화개1로24번길 9,,35.12815734,126.85716
대중 작은도서관,작은도서관,전라남도 무안군 삼향읍 남악4로 60번길 39,,34.8112502,126.470479
대천 작은도서관,작은도서관,부산광역시 남구 유엔평화로47번길 125 (대연동) 3층,,35.13088489,129.0990991
대천항작은도서관,작은도서관,충청남도 보령시 대천항로 370,https://brcn.go.kr/lib/,36.32660911,126.5061044
대청도서관,공공도서관,인천광역시 옹진군 대청면 대청로244번길 116-22,,37.832716,124.6955698
대촌동생태작은도서관,작은도서관,광주광역시 남구 포충로 591,,35.08133849,126.8335819
대추골도서관,공공도서관,경기도 수원시 장안구 수일로 164(조원동),https://www.suwonlib.go.kr/dcg,37.30660898,127.0080955
대치1작은도서관,작은도서관,서울특별시 강남구 남부순환로391길 19 (대치1문화센터 지하1층),https://library.gangnam.go.kr/dch1lib/index.do,37.49324481,127.056775
대치도서관,공공도서관,서울특별시 강남구 삼성로 212 (은마상가 C블럭 2층),https://library.gangnam.go.kr/dchlib,37.49961577,127.0659154
대치한빛 작은도서관,작은도서관,전라남도 담양군 대전면 대치8길 7-9,,35.27615655,126.8881938
대평동도서관,공공도서관,세종특별자치시 대평1길 10,https://lib.sejong.go.kr/daepyung/,36.47096106,127.2792664
대포천작은도서관,작은도서관,경상남도 김해시 상동면 장척로756번길 6,http://lib.gimhae.go.kr,35.30719964,128.9306847
대학동 녹두작은도서관,작은도서관,서울특별시 관악구 신림로 111,http://lib.gwanak.go.kr/,37.470598,126.936927
대한글로벌 작은도서관,작은도서관,경상남도 거제시 옥포로21길 3,https://lib.geoje.go.kr,34.8947328,128.6904231
대한실버회 작은도서관,작은도서관,"부산광역시 남구 유엔평화로 152-2 (용당동, 용당한신문화타운) 207호",,35.12269032,129.0972125
대현 휴 도서관,작은도서관,"대구광역시 북구 대현남로 25(대현동, 대현한신휴플러스)",,35.88156645,128.6046436
대현더샵 2단지 작은도서관,작은도서관,울산광역시 남구 야음로 26번길 34(대현동),,35.52334754,129.3261344
대현도서관,공공도서관,대구광역시 북구 대현남로43,https://library.daegu.go.kr/bukdh/index.do,35.881927,128.607359
대현동 작은도서관,작은도서관,울산광역시 남구 수암로 182(대현동주민센터 내),,35.526529,129.3267904
대현이편한세상도서관,작은도서관,"대구광역시 북구 대현로 10길 82(대현동, 대현 e-편한세상)",,35.88208471,128.6029689
대화도서관,공공도서관,경기도 고양시 일산서구 일산로 689(대화동),https://www.goyanglib.or.kr/MJ/index.do,37.68102176,126.753942
대흥마을문고,작은도서관,대전광역시 중구 대흥로 109(종합문화복지관) 3층,,36.32353938,127.4243909
더(the) 작은도서관,작은도서관,울산광역시 남구 중앙로 224번길 17-1(신정3동,,35.541559,129.313794
더바움문화예술작은도서관,작은도서관,"서울특별시 광진구 자양로28길 98, 지하1층(구의동)",,37.54141454,127.0895623
더불어숲 도서관,공공도서관,대구광역시 북구 학남로17길2,http://www.withwith.net,35.944725,128.569854
더블유아파트 작은도서관,작은도서관,"부산광역시 남구 분포로 145 (용호동, 더블유) A동 3층 작은도서관",,35.13422946,129.1112472
더샵리비테르1차 작은도서관,작은도서관,대구광역시 중구 명륜로23길 2,,35.86029544,128.5964751
더샵염주작은도서관,작은도서관,광주광역시 서구 월드컵4강로 27,,35.13988636,126.8746673
더채움작은도서관,작은도서관,울산광역시 남구 돋질로 106,,35.539026,129.317314
더퀸즈웰가도서관,작은도서관,"경상남도 진주시 새평거로 25, (평거동, 더 퀸즈 웰가) 커뮤니센터 내",,35.16652021,128.0496189
더프라임작은도서관,작은도서관,경상남도 진주시 소호로19번길 11,,35.16971919,128.1334437
더힐시그니처작은도서관,작은도서관,부산광역시 강서구 명지국제7로 110,,35.09593055,128.9130868
덕계도서관,공공도서관,경기도 양주시 평화로1475번길 39,https://www.libyj.go.kr/dklib/index.do,37.821659,127.046729
덕산베스트작은도서관,작은도서관,경상남도 거제시 중곡2로 89,https://lib.geoje.go.kr,34.8975145,128.6355877
덕산아내프리미엄1차아파트작은도서관,작은도서관,경상남도 거제시 아주로 100-10 (덕산아내프리미엄1차),https://lib.geoje.go.kr,34.86643348,128.6849359
덕산아내프리미엄2차아파트작은도서관,작은도서관,경상남도 거제시 아주로 100-11 (덕산아내프리미엄2차),https://lib.geoje.go.kr,34.86690134,128.6832833
덕산작은도서관,작은도서관,"경상남도 김해시 함박로119번길 6, 관리동 2층(외동, 덕산아파트)",http://lib.gimhae.go.kr,35.23413331,128.8680504
덕이도서관,공공도서관,경기도 고양시 일산서구 하이파크로 128(덕이동),https://www.goyanglib.or.kr/MN/index.do,37.702949,126.754554
덕적작은도서관,작은도서관,인천광역시 옹진군 덕적면 덕적남로 7 (2층),,37.22648044,126.1467783
